customer_id,age,gender,signup_date,tenure_days,recency_days,frequency,monetary,avg_order_value,num_categories_purchased,num_returns,return_rate,support_tickets,avg_satisfaction_score,email_open_rate,discount_usage_rate,preferred_channel,loyalty_member,churned
CUST-100022,28,Other,2024-09-14,655,66,17,971.24,53.91,2,3,0.176,0,4.9,0.586,0.012,Website,0,0
CUST-100023,70,Male,2021-08-15,1781,53,8,173.08,19.75,4,4,0.5,2,3.0,0.618,0.14,Website,0,0
CUST-100024,62,Male,2023-10-13,992,8,13,1154.3,82.97,5,3,0.231,0,3.8,0.969,0.099,Website,0,0
CUST-100025,54,Female,2022-04-22,1531,30,4,207.32,51.48,2,0,0.0,2,1.7,0.385,0.344,Mobile App,0,1
CUST-100026,40,Male,2023-12-30,914,20,13,868.4,61.75,4,2,0.154,0,4.5,0.63,0.121,In-Store,0,0
CUST-100027,64,Female,2022-08-26,1405,60,17,463.4,31.67,5,3,0.176,1,4.0,0.934,0.279,Website,0,0
CUST-100028,49,Male,2023-07-27,1070,71,25,915.16,32.4,10,1,0.04,0,4.9,0.885,0.0,In-Store,1,0
CUST-100029,43,Female,2024-11-30,578,5,11,816.17,67.64,3,5,0.455,2,3.1,0.575,0.297,Mobile App,1,0
CUST-100030,43,Male,2021-09-09,1756,25,14,655.73,44.98,1,4,0.286,2,3.7,0.746,0.155,Mobile App,0,0
CUST-100031,30,Male,2022-08-05,1426,7,16,503.85,36.17,2,1,0.062,0,3.8,0.613,0.0,Website,0,0
CUST-100032,23,Male,2022-04-08,1545,10,14,1239.63,94.35,12,2,0.143,1,5.0,1.0,0.0,Website,0,0
CUST-100033,49,Male,2021-04-21,1897,10,8,404.37,54.58,4,0,0.0,2,3.1,0.837,0.28,Mobile App,0,0
CUST-100034,68,Female,2025-01-27,520,46,3,107.14,38.52,3,3,1.0,5,2.0,0.285,0.393,Mobile App,1,0
CUST-100035,21,Male,2025-12-03,210,4,10,590.91,56.19,8,3,0.3,2,1.8,0.321,0.291,Mobile App,0,0
CUST-100036,66,Female,2023-04-11,1177,26,9,418.35,41.77,2,3,0.333,0,3.1,0.484,0.314,Website,1,0
CUST-100037,65,Female,2024-08-28,672,54,15,1025.6,64.84,3,2,0.133,2,2.9,0.369,0.313,Mobile App,0,0
CUST-100038,33,Female,2024-01-25,888,11,7,208.54,30.82,3,1,0.143,3,4.1,0.575,0.282,Mobile App,0,0
CUST-100039,54,Female,2025-02-24,492,37,11,1049.55,83.64,1,3,0.273,1,5.0,0.738,0.279,Mobile App,0,0
CUST-100040,27,Female,2024-04-08,814,24,6,277.75,41.75,2,1,0.167,2,3.4,0.514,0.466,Mobile App,0,0
CUST-100041,61,Male,2024-04-18,804,51,17,480.4,26.77,1,4,0.235,0,5.0,0.734,0.177,Mobile App,1,0
CUST-100042,57,Male,2024-07-11,720,16,5,136.91,28.25,2,2,0.4,1,1.0,0.049,0.364,Mobile App,0,0
CUST-100043,38,Male,2022-05-31,1492,23,16,785.03,46.5,6,1,0.062,0,4.1,0.653,0.155,Website,1,0
CUST-100044,21,Female,2023-03-22,1197,4,19,670.29,36.28,3,1,0.053,1,5.0,0.713,0.0,In-Store,0,0
CUST-100045,73,Female,2023-11-10,964,159,5,110.05,24.55,2,6,1.0,5,2.4,0.2,0.638,Mobile App,1,1
CUST-100046,43,Female,2025-10-22,252,8,5,130.23,25.15,1,3,0.6,1,2.8,0.297,0.652,In-Store,1,0
CUST-100047,68,Male,2023-05-04,1154,3,8,438.43,51.73,4,0,0.0,1,3.1,0.414,0.287,Website,0,0
CUST-100048,56,Male,2025-06-22,374,4,18,992.16,57.73,7,4,0.222,0,4.5,0.797,0.326,In-Store,1,0
CUST-100049,62,Female,2024-09-21,648,11,12,724.28,53.47,8,1,0.083,0,4.1,0.859,0.204,Mobile App,0,0
CUST-100050,61,Male,2024-03-06,847,47,14,1439.91,92.97,7,2,0.143,3,4.5,0.715,0.264,Website,0,0
CUST-100051,29,Female,2025-08-27,308,51,11,696.02,61.74,1,3,0.273,3,2.6,0.534,0.355,Website,0,0
CUST-100052,38,Female,2024-04-25,797,30,16,532.09,38.31,8,1,0.062,3,4.9,0.845,0.264,In-Store,0,0
CUST-100053,44,Female,2024-12-23,555,44,14,2112.99,176.49,5,2,0.143,0,4.0,0.607,0.039,Mobile App,0,0
CUST-100054,46,Female,2021-10-31,1704,27,14,482.26,33.06,5,4,0.286,1,3.5,0.452,0.362,Mobile App,0,0
CUST-100055,20,Male,2021-10-12,1723,7,9,229.44,23.3,1,2,0.222,1,3.4,0.335,0.506,Website,1,0
CUST-100056,49,Male,2026-05-24,38,61,0,0.0,69.41,1,2,0.0,1,4.7,0.872,0.0,Mobile App,1,0
CUST-100057,26,Female,2023-03-03,1216,43,12,1178.92,114.63,8,4,0.333,0,3.6,0.875,0.37,In-Store,0,0
CUST-100058,60,Male,2022-12-18,1291,8,9,614.82,76.46,2,0,0.0,3,3.4,0.526,0.456,Mobile App,0,0
CUST-100059,56,Male,2024-05-18,774,23,14,578.24,45.22,8,5,0.357,2,3.2,0.793,0.264,Mobile App,1,0
CUST-100060,70,Male,2023-11-20,954,7,22,793.34,34.73,6,4,0.182,0,4.8,0.736,0.089,Mobile App,0,0
CUST-100061,60,Male,2022-02-26,1586,18,13,868.0,67.05,6,1,0.077,0,4.1,0.848,0.0,Website,0,0
CUST-100062,38,Female,2024-05-18,774,70,8,326.97,46.41,3,2,0.25,1,2.2,0.053,0.287,Website,0,0
CUST-100063,73,Male,2026-01-26,156,1,21,924.88,44.02,2,0,0.0,2,3.8,0.763,0.086,In-Store,1,0
CUST-100064,41,Female,2024-05-29,763,188,5,537.21,96.72,1,1,0.2,4,1.2,0.077,0.596,Website,1,0
CUST-100065,36,Other,2025-01-17,530,38,7,145.07,21.11,1,3,0.429,1,2.2,0.13,0.552,Website,1,0
CUST-100066,69,Female,2024-05-09,783,2,12,647.03,60.25,1,3,0.25,1,4.7,0.668,0.409,Website,0,0
CUST-100067,39,Male,2025-03-05,483,48,6,220.44,35.9,4,3,0.5,1,2.4,0.396,0.351,Mobile App,1,1
CUST-100068,22,Female,2025-08-10,325,70,4,228.79,50.67,3,4,1.0,3,3.7,0.363,0.352,Website,1,1
CUST-100069,44,Female,2021-02-06,1971,92,18,518.87,32.58,5,1,0.056,1,3.8,0.771,0.146,In-Store,0,0
CUST-100070,63,Male,2025-09-21,283,10,4,166.58,46.43,2,5,1.0,4,2.1,0.312,0.327,In-Store,1,1
CUST-100071,28,Male,2022-08-10,1421,3,15,2225.5,145.45,5,3,0.2,0,4.5,1.0,0.337,Mobile App,0,0
CUST-100072,44,Female,2022-07-19,1443,29,22,1527.44,72.93,7,1,0.045,1,3.7,0.775,0.134,Mobile App,1,0
CUST-100073,25,Male,2023-01-31,1247,8,21,1574.44,67.02,2,0,0.0,2,5.0,1.0,0.088,Website,0,0
CUST-100074,57,Male,2021-07-02,1825,7,19,1037.92,51.35,5,1,0.053,0,3.7,0.854,0.23,Website,1,0
CUST-100075,45,Female,2026-05-23,39,22,0,0.0,49.17,10,1,0.0,0,2.6,0.788,0.061,Mobile App,0,0
CUST-100076,36,Male,2024-10-15,624,10,9,530.05,53.0,5,0,0.0,1,3.3,0.387,0.293,In-Store,1,0
CUST-100077,30,Female,2025-06-03,393,30,10,663.88,63.67,1,2,0.2,4,2.1,0.0,0.41,Mobile App,1,0
CUST-100078,50,Male,2023-04-22,1166,15,12,881.51,73.6,4,2,0.167,1,3.7,0.259,0.439,Mobile App,0,0
CUST-100079,56,Female,2022-12-27,1282,1,14,1579.49,121.71,2,1,0.071,0,3.9,0.844,0.05,Website,0,0
CUST-100080,71,Female,2021-07-29,1798,16,13,613.18,45.14,2,1,0.077,0,4.1,0.867,0.0,Website,0,0
CUST-100081,42,Male,2024-05-14,778,49,15,1604.42,95.54,9,0,0.0,1,4.6,0.869,0.0,In-Store,0,0
CUST-100082,27,Male,2025-02-22,494,6,13,1370.89,122.4,4,2,0.154,3,3.8,0.615,0.0,Mobile App,0,0
CUST-100083,65,Male,2021-06-07,1850,29,9,661.41,76.35,3,4,0.444,0,3.5,0.547,0.602,Mobile App,0,0
CUST-100084,53,Other,2022-10-15,1355,10,8,441.15,48.77,8,3,0.375,1,2.9,0.523,0.524,In-Store,0,0
CUST-100085,57,Male,2022-04-17,1536,8,9,665.18,76.6,2,0,0.0,1,3.0,0.339,0.0,Mobile App,0,0
CUST-100086,23,Male,2024-01-07,906,26,13,269.12,24.05,2,4,0.308,3,3.0,0.478,0.195,Mobile App,0,0
CUST-100087,35,Male,2024-01-02,911,3,15,1476.49,111.8,2,2,0.133,0,3.9,0.838,0.0,Website,0,0
CUST-100088,61,Female,2024-04-26,796,15,4,338.1,79.95,1,1,0.25,3,1.0,0.311,0.597,In-Store,0,0
CUST-100089,65,Female,2022-05-17,1506,59,6,304.02,47.8,5,3,0.5,1,3.3,0.637,0.069,In-Store,1,1
CUST-100090,42,Female,2025-04-13,444,5,12,489.53,46.12,4,1,0.083,0,3.0,0.734,0.242,In-Store,0,0
CUST-100091,63,Male,2021-02-26,1951,2,22,533.49,26.48,3,0,0.0,1,4.2,0.83,0.0,Mobile App,0,0
CUST-100092,65,Female,2025-06-20,376,107,12,1051.9,86.01,2,5,0.417,1,2.8,0.779,0.364,Website,0,0
CUST-100093,40,Female,2023-12-06,938,117,24,1181.24,46.61,5,2,0.083,1,3.9,0.629,0.0,Mobile App,0,0
CUST-100094,69,Male,2024-09-20,649,27,14,1466.84,116.8,5,4,0.286,0,3.2,0.668,0.621,Mobile App,0,0
CUST-100095,34,Female,2022-12-14,1295,2,18,424.39,23.89,4,1,0.056,3,3.8,0.603,0.485,Mobile App,0,0
CUST-100096,31,Female,2022-09-30,1370,13,9,301.43,32.88,6,2,0.222,1,3.8,0.744,0.633,Mobile App,0,0
CUST-100097,56,Male,2021-06-18,1839,34,8,215.67,31.17,5,2,0.25,3,1.0,0.469,0.507,Mobile App,1,1
CUST-100098,54,Male,2022-02-28,1584,51,12,178.62,16.23,2,1,0.083,2,1.0,0.091,0.704,Website,0,0
CUST-100099,25,Female,2025-01-28,519,24,10,782.68,69.53,6,2,0.2,2,1.8,0.523,0.396,In-Store,1,0
CUST-100100,65,Female,2025-04-20,437,14,8,257.38,28.88,3,3,0.375,4,2.6,0.709,0.177,Mobile App,0,0
CUST-100101,29,Female,2021-08-20,1776,22,18,561.34,32.94,5,2,0.111,2,2.8,0.514,0.243,Mobile App,0,0
CUST-100102,63,Male,2023-10-14,991,39,6,197.61,29.66,1,1,0.167,1,3.1,0.612,0.355,Mobile App,0,0
CUST-100103,18,Male,2025-11-21,222,1,16,700.39,42.1,6,2,0.125,0,4.6,0.654,0.303,Website,1,0
CUST-100104,63,Female,2021-12-19,1655,13,15,1801.02,104.91,4,0,0.0,1,3.8,0.671,0.179,Website,1,0
CUST-100105,62,Male,2022-12-02,1307,34,4,290.3,63.67,2,6,1.0,7,1.3,0.091,0.578,Website,0,0
CUST-100106,62,Female,2026-04-12,80,1,5,288.37,55.72,3,4,0.8,4,2.3,0.431,0.358,Mobile App,1,1
CUST-100107,55,Female,2022-03-12,1572,2,15,753.61,50.73,8,0,0.0,3,3.3,0.73,0.153,In-Store,0,0
CUST-100108,44,Other,2023-02-21,1226,1,11,382.57,38.96,4,1,0.091,2,2.2,0.67,0.065,Website,0,0
CUST-100109,58,Female,2023-02-07,1240,105,6,237.52,39.23,1,2,0.333,3,2.0,0.0,0.605,Website,0,0
CUST-100110,33,Female,2021-10-02,1733,14,9,474.66,54.4,4,1,0.111,2,3.6,0.645,0.179,Mobile App,0,0
CUST-100111,62,Female,2023-09-29,1006,4,12,1240.65,99.06,7,2,0.167,2,4.3,0.615,0.04,Website,0,0
CUST-100112,49,Male,2023-12-06,938,16,10,330.05,37.64,5,4,0.4,0,3.2,0.436,0.073,Mobile App,1,0
CUST-100113,44,Male,2023-02-01,1246,17,13,1161.52,81.19,10,2,0.154,0,2.9,0.779,0.209,Mobile App,0,0
CUST-100114,46,Other,2025-05-08,419,6,8,275.91,30.25,2,1,0.125,2,3.0,0.792,0.318,Website,1,0
CUST-100115,50,Female,2025-08-07,328,28,3,189.69,69.27,3,3,1.0,1,1.5,0.245,0.539,Mobile App,0,0
CUST-100116,20,Female,2021-11-12,1692,30,11,1110.53,97.09,8,1,0.091,0,4.7,0.803,0.276,Website,0,0
CUST-100117,25,Male,2025-04-03,454,39,4,213.06,48.84,4,0,0.0,2,1.8,0.26,0.727,Website,1,0
CUST-100118,31,Female,2023-09-12,1023,70,13,516.46,39.09,1,3,0.231,4,2.1,0.316,0.407,Mobile App,0,0
CUST-100119,24,Male,2024-12-17,561,19,19,1485.26,69.14,4,1,0.053,2,4.3,0.614,0.323,Mobile App,0,0
CUST-100120,43,Male,2025-03-04,484,6,10,1111.44,110.75,8,0,0.0,0,3.4,0.57,0.094,Website,0,0
CUST-100121,56,Female,2023-03-12,1207,46,5,369.63,79.39,1,4,0.8,3,2.2,0.139,0.318,Mobile App,0,0
CUST-100122,55,Male,2022-02-02,1610,56,9,1057.32,118.49,3,0,0.0,0,4.3,0.495,0.144,Mobile App,1,0
CUST-100123,44,Female,2024-01-13,900,3,18,917.17,51.14,6,3,0.167,3,3.3,0.734,0.036,Mobile App,0,0
CUST-100124,66,Female,2025-09-01,303,11,10,459.54,49.62,5,3,0.3,4,3.4,0.583,0.154,Mobile App,0,0
CUST-100125,50,Male,2025-02-05,511,28,7,189.99,24.99,3,2,0.286,2,2.5,0.619,0.541,Mobile App,1,0
CUST-100126,22,Male,2025-07-12,354,44,8,317.22,38.3,1,0,0.0,0,1.5,0.144,0.358,Website,0,0
CUST-100127,61,Male,2021-08-27,1769,25,11,505.99,47.86,5,0,0.0,0,3.9,0.842,0.148,Website,0,0
CUST-100128,50,Male,2024-09-10,659,7,12,588.01,50.18,5,1,0.083,1,2.5,0.418,0.241,Mobile App,0,0
CUST-100129,54,Other,2024-05-26,766,80,24,1581.18,68.52,7,0,0.0,1,4.1,0.887,0.0,Mobile App,0,0
CUST-100130,50,Other,2026-01-13,169,36,6,237.31,40.18,2,0,0.0,3,2.7,0.239,0.464,In-Store,0,0
CUST-100131,49,Male,2024-01-05,908,101,9,375.01,41.32,4,3,0.333,3,3.0,0.457,0.415,Website,0,0
CUST-100132,23,Female,2021-06-27,1830,24,7,856.73,128.93,3,1,0.143,2,3.7,0.46,0.485,Mobile App,0,0
CUST-100133,49,Male,2024-03-16,837,1,14,252.43,16.46,5,1,0.071,1,2.2,0.323,0.494,Website,0,0
CUST-100134,63,Other,2022-11-27,1312,27,14,287.86,18.22,2,0,0.0,0,4.4,0.859,0.156,In-Store,0,0
CUST-100135,35,Female,2025-06-08,388,13,10,326.62,32.44,5,3,0.3,1,4.2,0.491,0.257,In-Store,1,0
CUST-100136,52,Female,2025-08-24,311,68,12,228.04,17.87,8,3,0.25,1,2.6,0.549,0.274,Mobile App,1,0
CUST-100137,19,Female,2022-06-21,1471,18,6,131.43,19.4,4,6,1.0,0,2.2,0.18,0.434,Website,0,0
CUST-100138,37,Female,2026-01-23,159,6,18,695.44,42.57,4,2,0.111,0,4.7,1.0,0.086,Website,1,0
CUST-100139,42,Male,2023-12-31,913,3,14,752.16,59.24,3,2,0.143,2,2.7,0.541,0.256,Website,0,0
CUST-100140,74,Female,2024-09-16,653,17,3,109.27,41.78,1,2,0.667,2,2.6,0.0,0.288,In-Store,1,0
CUST-100141,30,Male,2026-04-30,62,18,13,779.1,60.99,4,1,0.077,1,2.4,0.635,0.333,Mobile App,0,0
CUST-100142,33,Male,2023-07-21,1076,10,7,490.43,73.8,4,0,0.0,2,1.0,0.164,0.513,Mobile App,1,0
CUST-100143,41,Male,2021-03-20,1929,6,18,1025.76,55.97,2,2,0.111,1,4.0,0.555,0.072,Website,0,0
CUST-100144,74,Female,2026-01-16,166,50,14,840.08,60.9,4,1,0.071,2,2.7,0.727,0.476,In-Store,1,0
CUST-100145,66,Female,2022-01-06,1637,41,14,563.19,44.35,6,3,0.214,3,3.3,0.783,0.228,Website,0,0
CUST-100146,19,Male,2023-07-05,1092,5,8,310.64,40.14,1,5,0.625,2,2.9,0.375,0.186,Mobile App,0,0
CUST-100147,31,Male,2022-07-07,1455,2,7,103.92,17.29,6,0,0.0,1,3.4,0.526,0.432,Website,0,0
CUST-100148,64,Male,2025-11-23,220,1,13,994.87,75.68,4,1,0.077,0,3.3,0.815,0.047,Mobile App,1,0
CUST-100149,21,Male,2021-09-23,1742,52,3,152.97,54.75,2,4,1.0,2,2.3,0.05,0.395,In-Store,0,0
CUST-100150,66,Female,2026-05-10,52,18,0,0.0,58.68,3,4,0.0,2,2.4,0.406,0.342,Website,0,0
CUST-100151,34,Male,2021-07-11,1816,21,6,127.59,24.45,1,2,0.333,2,2.1,0.356,0.605,Mobile App,0,0
CUST-100152,70,Female,2022-11-14,1325,21,13,461.58,33.36,4,6,0.462,3,3.5,0.75,0.216,Mobile App,0,0
CUST-100153,34,Female,2024-08-06,694,43,10,399.35,43.21,3,1,0.1,3,2.8,0.561,0.28,Mobile App,0,0
CUST-100154,42,Male,2026-05-19,43,8,0,0.0,28.78,1,2,0.0,1,1.0,0.11,0.311,Mobile App,0,0
CUST-100155,55,Female,2023-02-14,1233,16,11,669.01,55.56,4,3,0.273,2,1.7,0.41,0.108,Mobile App,0,0
CUST-100156,25,Female,2025-12-11,202,2,5,268.5,53.7,1,1,0.2,3,2.0,0.243,0.47,Website,0,0
CUST-100157,49,Female,2023-02-18,1229,7,15,695.2,52.08,3,1,0.067,0,3.9,0.584,0.087,Mobile App,0,0
CUST-100158,46,Female,2022-03-31,1553,32,5,388.51,75.12,1,6,1.0,8,1.2,0.045,0.48,In-Store,1,1
CUST-100159,62,Male,2024-12-22,556,16,11,538.65,56.19,2,2,0.182,1,2.7,0.476,0.452,Mobile App,0,0
CUST-100160,74,Female,2025-02-16,500,4,10,1019.69,93.11,3,1,0.1,0,3.4,0.657,0.033,Website,0,0
CUST-100161,55,Male,2025-03-21,467,5,15,924.19,57.13,5,0,0.0,2,4.0,0.47,0.151,Website,0,0
CUST-100162,41,Male,2025-03-16,472,138,9,318.85,36.5,2,2,0.222,2,1.7,0.401,0.401,Mobile App,0,0
CUST-100163,41,Female,2025-10-20,254,1,7,324.06,49.74,1,4,0.571,4,1.4,0.0,0.19,Mobile App,0,1
CUST-100164,41,Female,2025-01-26,521,36,11,174.2,14.9,2,2,0.182,2,1.9,0.389,0.495,Website,0,0
CUST-100165,64,Male,2022-11-11,1328,32,14,842.94,59.02,4,2,0.143,0,3.4,0.371,0.286,Mobile App,0,0
CUST-100166,36,Male,2024-10-14,625,5,17,514.03,33.84,5,0,0.0,0,5.0,0.831,0.018,Mobile App,1,0
CUST-100167,27,Male,2022-03-16,1568,20,23,1316.02,53.09,4,4,0.174,0,2.9,0.918,0.053,Website,1,0
CUST-100168,37,Male,2021-12-30,1644,68,12,413.33,36.25,4,4,0.333,4,3.1,0.373,0.45,Mobile App,1,0
CUST-100169,19,Female,2022-04-24,1529,12,17,547.26,28.79,6,3,0.176,0,5.0,0.733,0.085,Mobile App,1,0
CUST-100170,24,Female,2023-07-05,1092,36,10,1183.67,107.72,6,3,0.3,0,3.0,0.575,0.5,Mobile App,0,0
CUST-100171,23,Male,2024-09-16,653,25,11,368.75,35.94,8,4,0.364,2,2.9,0.781,0.0,Website,0,0
CUST-100172,61,Female,2021-05-27,1861,2,22,672.08,32.97,12,2,0.091,1,4.5,0.922,0.074,In-Store,0,0
CUST-100173,59,Male,2025-04-23,434,1,8,542.23,69.92,5,4,0.5,2,1.6,0.363,0.462,Mobile App,1,0
CUST-100174,57,Male,2023-11-29,945,84,10,464.48,42.56,2,0,0.0,4,3.7,0.31,0.421,Website,0,0
CUST-100175,44,Male,2023-12-21,923,4,8,246.84,34.7,2,2,0.25,2,3.9,0.596,0.457,Mobile App,0,0
CUST-100176,58,Female,2022-05-25,1498,23,19,1272.58,70.89,7,0,0.0,1,4.6,0.762,0.0,In-Store,1,0
CUST-100177,27,Female,2023-06-20,1107,67,12,616.32,49.02,4,2,0.167,1,4.6,0.603,0.052,In-Store,1,0
CUST-100178,69,Female,2022-02-07,1605,12,17,1104.31,75.53,4,1,0.059,1,4.9,0.888,0.084,Mobile App,0,0
CUST-100179,46,Female,2021-06-17,1840,22,9,739.29,94.77,7,1,0.111,1,4.4,0.683,0.0,Mobile App,1,0
CUST-100180,71,Male,2024-04-23,799,10,9,408.22,42.05,5,3,0.333,0,4.5,0.771,0.42,Website,0,0
CUST-100181,26,Female,2021-09-12,1753,30,3,205.49,68.04,4,2,0.667,2,4.9,0.554,0.372,Website,0,0
CUST-100182,46,Female,2025-07-02,364,29,14,1381.18,96.98,4,3,0.214,1,2.9,0.459,0.332,Website,1,0
CUST-100183,57,Female,2021-06-23,1834,13,12,1220.77,110.02,7,2,0.167,1,4.2,0.843,0.228,Mobile App,1,0
CUST-100184,46,Female,2025-06-16,380,1,7,268.39,37.98,3,1,0.143,2,1.9,0.412,0.559,Mobile App,0,0
CUST-100185,43,Male,2021-10-30,1705,58,11,902.25,80.93,4,0,0.0,8,1.7,0.465,0.233,Mobile App,1,1
CUST-100186,27,Female,2024-04-24,798,2,11,196.2,18.31,5,3,0.273,4,2.5,0.454,0.245,Website,0,0
CUST-100187,39,Other,2021-03-19,1930,2,13,840.54,56.75,3,2,0.154,0,3.2,0.833,0.249,Website,1,0
CUST-100188,31,Female,2025-09-20,284,5,15,335.32,25.85,6,6,0.4,2,2.2,0.41,0.294,Mobile App,1,0
CUST-100189,35,Male,2023-11-27,947,9,15,614.8,42.06,1,1,0.067,0,4.3,0.723,0.016,In-Store,0,0
CUST-100190,56,Female,2021-07-21,1806,1,8,1193.7,134.76,2,3,0.375,1,2.9,0.478,0.239,Website,0,0
CUST-100191,53,Female,2026-02-28,123,1,8,556.39,76.27,3,4,0.5,2,3.1,0.456,0.437,Website,0,0
CUST-100192,52,Male,2024-12-26,552,27,4,118.11,26.12,1,1,0.25,1,2.0,0.255,0.599,Website,1,0
CUST-100193,38,Other,2025-12-19,194,60,10,291.93,29.86,7,0,0.0,2,4.2,0.672,0.0,Website,1,0
CUST-100194,72,Male,2024-09-07,662,119,7,533.2,84.92,6,1,0.143,2,2.4,0.593,0.343,Website,1,0
CUST-100195,22,Female,2024-04-24,798,16,6,440.05,83.54,6,2,0.333,1,4.1,0.536,0.303,Mobile App,1,0
CUST-100196,37,Female,2023-01-29,1249,60,6,487.81,85.75,1,4,0.667,3,1.3,0.0,0.312,Website,0,0
CUST-100197,24,Male,2025-01-10,537,32,15,956.24,56.62,3,5,0.333,3,3.6,0.288,0.364,Website,0,1
CUST-100198,37,Female,2025-07-24,342,37,3,258.41,76.11,1,5,1.0,2,1.3,0.341,0.429,Website,0,0
CUST-100199,72,Male,2025-07-02,364,92,14,613.43,43.0,2,3,0.214,1,3.4,0.791,0.078,Website,0,0
CUST-100200,38,Male,2021-05-10,1878,28,6,223.67,42.1,7,0,0.0,1,3.6,0.408,0.316,Mobile App,0,0
CUST-100201,69,Male,2021-04-11,1907,43,5,271.91,55.1,5,2,0.4,1,3.6,0.618,0.354,Website,0,0
CUST-100202,46,Male,2025-03-22,466,42,3,100.71,34.42,1,5,1.0,5,1.0,0.159,0.697,Mobile App,0,1
CUST-100203,57,Male,2025-05-13,414,19,15,439.76,31.89,5,2,0.133,1,3.3,0.734,0.211,Website,0,0
CUST-100204,44,Female,2026-02-15,136,55,12,690.74,65.95,5,2,0.167,1,3.5,0.189,0.651,In-Store,0,0
CUST-100205,33,Female,2021-03-30,1919,40,6,398.19,68.81,2,4,0.667,2,2.1,0.166,0.617,Website,1,1
CUST-100206,61,Male,2022-08-10,1421,3,24,744.24,32.25,3,3,0.125,0,4.8,1.0,0.094,Mobile App,0,0
CUST-100207,73,Female,2022-04-25,1528,31,9,363.79,38.09,2,1,0.111,1,2.3,0.514,0.228,Mobile App,0,0
CUST-100208,33,Female,2024-11-06,602,46,3,178.53,61.46,2,1,0.333,0,2.3,0.354,0.543,Website,0,0
CUST-100209,62,Female,2022-12-17,1292,174,6,302.19,58.98,3,4,0.667,3,2.6,0.118,0.375,Mobile App,0,1
CUST-100210,32,Male,2026-02-04,147,55,13,630.41,56.65,3,5,0.385,1,2.9,0.61,0.359,Website,0,0
CUST-100211,58,Male,2022-10-09,1361,19,21,731.32,32.97,6,3,0.143,1,3.4,0.646,0.0,Mobile App,0,0
CUST-100212,62,Male,2023-04-17,1171,13,8,1209.24,144.2,9,3,0.375,2,3.4,0.507,0.216,Website,0,0
